"id","title","slug","definition","inspiction","act","published","content","category_id","parent_id","created_at","updated_at"
"123","Viandes issues d'animaux non atteints de MRLC","viandes-issues-danimaux-non-atteints-de-mrlc","","","","1","","2","","2023-06-03 14:32:46","2023-06-03 14:32:46"
"124","L'actinobacillose ou la langue de bois","lactinobacillose-ou-la-langue-de-bois","<p>C’est une maladie chronique des bovins due à Actinobacillus lignieresi.<br></p>","<p>Les lésions post-mortem de l'actinobacillose sont les suivantes:</p>
<ul>
<li>
<p>Langue hypertrophiée et dure, avec des nodules jaunâtres et des érosions de la muqueuse.</p>
</li>
<li>
<p>Lésions granulomateuses dans les nœuds lymphatiques.</p>
</li>
<li>
<p>Épaississement important de la partie inférieure de l'œsophage et de la paroi intestinale.</p>
</li>
<li>
<p>Plaques surélevées et érosions de la muqueuse de la panse et du réseau.</p>
</li>
<li>
<p>Lésions hépatiques et diaphragmatiques causées par le contact avec le réseau. Les lésions typiques de l'actinobacillose dans les nœuds lymphatiques et les organes consistent en un pus crémeux épais jaune verdâtre contenant des colonies bactériennes en forme de trèfle.</p>
</li>
</ul>","<ul>
<li>
<p>En cas de lésions inflammatoires d’actinobacillose dans les nœuds lymphatiques et le parenchyme pulmonaire en phase de développement actif, la carcasse entière doit être saisie et envoyée à l’équarrissage.</p>
</li>
<li>
<p>Si la maladie est limitée aux nœuds lymphatiques, la carcasse et les abats peuvent être récupérés après une élimination totale de la zone atteinte.</p>
</li>
<li>
<p>Si seule la langue est touchée et qu’aucun nœud lymphatique n’est concerné, la langue doit être saisie, mais la carcasse et ses abats peuvent être libérés.</p>
</li>
</ul>","1","","1","123","2023-06-03 14:38:58","2023-06-03 14:38:58"
"125","La carcasse","la-carcasse","","","","1","","2","","2023-06-03 14:46:33","2023-06-03 14:46:33"
"126","Les ligaments et tendons","les-ligaments-et-tendons","","","","1","<p>L'onchocercose est une parasitose qui affecte les tendons et les ligaments, observée principalement chez le bœuf de boucherie et occasionnellement chez les chevaux.&nbsp;</p><p>Elle se caractérise par des nodules de contenu jaunâtre entourés de tissu fibreux dans les ligaments articulaires, en particulier les ligaments cervicaux et ceux du grasset.&nbsp;</p><p>La conduite à tenir consiste simplement à effectuer un nettoyage de la zone affectée.</p>","1","125","2023-06-03 14:47:33","2023-06-03 14:47:33"
"127","Les séreuses","les-sereuses","","","","1","","3","125","2023-06-03 14:48:19","2023-06-03 14:48:19"
"128","La cysticercose hépato-péritonéale","la-cysticercose-hepato-peritoneale","","","","1","<p>Les vésicules de la cysticercose hépato-péritonéale se forment sur le péritoine pariétal.&nbsp;</p><p>Elles se présentent sous forme de petites sphères remplies de liquide.&nbsp;</p><p>Selon l'importance des lesions, il convient de procéder soit au simple parage, soit à la saisie de la paroi abdominale et du foie.</p>","1","127","2023-06-03 14:48:44","2023-06-03 14:48:44"
"129","La péritonite parasitaire","la-peritonite-parasitaire","","","","1","<p>Les jeunes chevaux peuvent présenter des petits foyers de péritonite parasitaire de faible étendue et à contour irrégulier.&nbsp;</p><p>Ces lésions peuvent être de couleur hémorragique ou jaune verdâtre selon le stade évolutif de l'atteinte; Lorsqu'elles sont incisées, des larves d'helminthes, strongles intestinaux, sont parfois observées, avec une localisation erratique dans la panne.&nbsp;</p><p>La conduite à tenir consiste à parer ou à saisir la paroi abdominale en fonction de l'étendue des lésions.</p>","1","127","2023-06-03 14:49:05","2023-06-03 14:49:05"
"130","Le tissu conjonctif","tissu-conjonctif","","","","1","<p>Chez les bovins, la présence de l'hypodermose se caractérise par des lésions au niveau du tissu conjonctif sous-cutané des épaules, de la paroi thoracique et de la région lombaire, provoquées par la migration larvaire. </p><p>Les lésions se traduisent par des nodules et des œdèmes de couleur brun-vert. </p><p>La conduite à tenir consiste en un simple parage des lésions.</p>","1","125","2023-06-03 14:49:34","2023-06-03 15:05:34"
"131","Tissu musculaire","tissu-musculaire","","","","1","","3","125","2023-06-03 14:54:15","2023-06-03 14:54:15"
"132","La cysticercose musculaire ou la ladrerie","la-cysticercose-musculaire-ou-la-ladrerie","<p>La cysticercose est une maladie parasitaire larvaire affectant le tissu musculaire strié, causée par le développement des larves du ver intestinal Taenia saginata de l'Homme.&nbsp;</p><p>Il est possible de détruire la larve en la soumettant à une température d'au moins 56°C pendant quelques minutes, en la congelant à Ŕ 10°C pendant 10 jours ou en utilisant des rayonnements ionisants (300 à 500 Gray).&nbsp;</p><p>Cette parasitose doit être systématiquement recherchée chez les bovins, les camélins et les porcins dans les zones à risque, en particulier dans le myocarde, la langue, les muscles masticateurs (notamment les masséters) et le diaphragme.</p>","<p>La lésion connue sous le nom de grain de ladre se présente sous une forme caractéristique qui varie en fonction de son stade d’évolution;&nbsp;</p><p>Lors de la forme infestante, on parle de ladrerie banale, où l'on observe une vésicule ellipsoïde de couleur lactescente, ayant une apparence similaire à un grain d'orge et qui est encastrée entre les faisceaux de fibres musculaires.&nbsp;</p><p>Dans les formes dégénérées, on parle de ladrerie sèche. Dans ce cas, le parasite se dégrade, la vésicule se nécrose et entraîne la formation d'un magma jaunâtre entouré d'une coque fibreuse qui se calcifie progressivement.</p>","<p>Le Ministère de l’Agriculture, du Développement Rural et des Eaux et Forêts édicte une conduite à suivre pour les carcasses atteintes de cœnurose. Selon l’Arrêté n°1410-01 du 5 Joumada I 1422 (26 juillet 2001):</p><p>La saisie de la carcasse est obligatoire si l’on dénombre plus d’une vésicule par dm2 dans n’importe quel organe de prédilection ou dans un endroit visible de la carcasse.&nbsp;</p><p>Dans les autres cas d’infestation et si la valeur marchande de la carcasse est suffisante, la récupération de la carcasse est autorisée après assainissement par un traitement approprié.</p><p>Toutefois, cela doit être demandé par le propriétaire de la carcasse dans un délai de 24 heures. Si la récupération est acceptée par le vétérinaire inspecteur, seul la carcasse est soumise à l'assainissement par le froid, c’est-à-dire une exposition à une température maintenue à -10°C ou inférieure sans interruption pendant au moins 10 jours.&nbsp;</p><p>L’estampillage qualitatif et triangulaire de 3 cm de côté portant la lettre ""L"" ne sera effectué qu’après les opérations d'assainissement.</p>","1","","1","131","2023-06-03 14:54:45","2023-06-03 15:16:51"
"133","La trichinellose","la-trichinellose","<p>Example</p>","<p>example</p>","<p>example</p>","1","","1","131","2023-06-03 14:55:07","2023-06-03 14:55:07"
"134","Sarcosporidioses","sarcosporidioses","<p>example</p>","<p>Example</p>","<p>Example</p>","1","","1","131","2023-06-03 14:55:31","2023-06-03 14:55:31"
"135","Le 5ème quartier","le-5eme-quartier","","","","1","","2","","2023-06-03 15:21:48","2023-06-03 15:21:48"
"136","La langue, le coeur, l'oesophage","la-langue-le-coeur-loesophage","","","","1","<p>On y retrouve les parasites des tissus musculaires striés et du tissu conjonctif pour certains<br></p>","1","135","2023-06-03 15:22:19","2023-06-03 15:22:19"
"137","Le cuir et la peau","le-cuir-et-la-peau","","","","1","<table width=""816"" cellspacing=""0"" cellpadding=""1"" class=""table"">
<thead>
<tr>
<td bgcolor=""#f7f7f8"" width=""147"">
<p><strong>Affection parasitaire</strong></p>
</td>
<td bgcolor=""#f7f7f8"" width=""328"">
<p><strong>Symptômes</strong></p>
</td>
<td bgcolor=""#f7f7f8"" width=""334"">
<p><strong>Conduite à tenir</strong></p>
</td>
</tr>
</thead>
<tbody>
<tr>
<td bgcolor=""#f7f7f8"" width=""147"" height=""57"">
<p>Teigne</p>
</td>
<td bgcolor=""#f7f7f8"" width=""328"">
<p>Dépilations circonscrites</p>
</td>
<td bgcolor=""#f7f7f8"" width=""334"">
<p>Saisie du cuir</p>
</td>
</tr>
<tr>
<td bgcolor=""#f7f7f8"" width=""147"" height=""110"">
<p>Gales</p>
</td>
<td bgcolor=""#f7f7f8"" width=""328"">
<p>Réaction des ganglions lymphatiques superficiels de la carcasse avec une lymphadénite subaiguë ou chronique éosinophile</p>
</td>
<td bgcolor=""#f7f7f8"" width=""334"">
<ul>
<li>
<p>Saisie du cuir lors d'atteinte etendue.</p>
</li>
<li>
<p>Parage des nœuds lymphatiques en cas d’adénite</p>
</li>
</ul>
</td>
</tr>
<tr>
<td bgcolor=""#f7f7f8"" width=""147"" height=""191"">
<p>Hypodermose bovine ou varon</p>
</td>
<td bgcolor=""#f7f7f8"" width=""328"">
<p>Perforation des cuirs dans la région dorso-lombaire. Infiltration importante et coloration éosinophilique</p>
</td>
<td bgcolor=""#f7f7f8"" width=""334"">
<ul>
<li>
<p>L'importante dégradation de la qualité marchande des cuirs lors d'atteintes très étendues justifie une saisie.</p>
</li>
<li>
<p>Parage superficiel pour infiltration séreuse des muscles lombaires, sinon une saisie large pour abcès ou phlegmon.</p>
</li>
</ul>
</td>
</tr>
</tbody>
</table>","1","135","2023-06-03 15:23:16","2023-06-03 15:23:16"
"138","Le foie","foie","","","","1","","3","135","2023-06-03 15:23:44","2023-06-03 15:23:44"
"139","La cysticercose","la-cysticercose","","","","1","<p>La cysticercose hépato-péritonéale est une parasitose due à Cysticercus tenuicollis, que l'on rencontre chez les ovins, les bovins et les porcins. Les lésions typiques se présentent sous forme de ""boules d'eau"" en nombre variable, localisées généralement à la surface du foie, du péritoine et sur les mésos.</p><p>Chez les ovins, des trajets blanchâtres (hémorragiques en phase d'infestation) sinueux peuvent être observés en surface et en profondeur avec un nodule fibreux à l'extrémité de ces trajets. Il s'agit de traces laissées par les larves lors de leur migration dans le tissu hépatique.</p><p>La conduite à tenir dépend de l'étendue des lésions : l'épluchage du foie peut être réalisé en cas de lésions limitées, mais une saisie totale de l'organe est recommandée en cas de lésions disséminées.</p>","1","138","2023-06-03 15:24:35","2023-06-03 15:43:23"
"140","La fasciolose hépatique","la-fasciolose-hepatique","","","","1","<p>La fasciolose est une parasitose causée par Fasciola hepatica, la grande douve du foie. Les bovins et les ovins sont les plus touchés, tandis que les porcs et les chevaux sont rarement affectés.</p><p>Chez les bovins, l'infestation commence par une colangite, suivie d'une fibrose péricanaliculaire, d'une hépatite fibreuse et d'une calcification secondaire de la paroi des canaux biliaires. En phase terminale, il y a une déformation du foie due à la sclérose. Dans certains cas, des complications par suppuration peuvent survenir.</p><p>En cas d'infestation massive, une atteinte pulmonaire est possible, se traduisant par la présence de kystes distomiens volumineux (de 2 à 5 cm de diamètre) enchâssés au niveau de la face diaphragmatique des lobes caudaux, avec un contenu verdâtre et pâteux.</p><p>La conduite à tenir dépend de l'étendue des lésions hépatiques : l'épluchage ou la saisie totale du foie peuvent être nécessaires.</p>","1","138","2023-06-03 15:24:55","2023-06-03 15:24:55"
"141","L'ascaridiose","lascaridiose","","","","1","<p>Les larves d'ascaris chez le porc peuvent provoquer une hépatite interstitielle chronique qui se manifeste par des lésions blanchâtres en ""taches de lait"" à contour irrégulier, présentes en surface et en profondeur.&nbsp;</p><p>La conduite à tenir consiste à saisir le foie.</p>","1","138","2023-06-03 15:25:17","2023-06-03 15:25:17"
"142","La strongylose","la-strongylose","","","","1","<ul>
<li>
<p>Les chevaux sont sujets à la strongylose hépatique, qui se manifeste par deux types de lésions indépendantes ou associées :</p>
<ul>
<li>
<p>La périhépatite villeuse fibreuse, caractérisée par des brides d'adhérence entre les lobes et des franges de tissu fibreux le long du bord ventral (Photo 108).</p>
</li>
<li>
<p>Des nodules blanchâtres fibreux et durs, plus ou moins nombreux et dispersés, correspondant à des larves de strongles embolisées (Photo 109).</p>
</li>
</ul>
</li>
</ul>
<p>La strongylose hépatique est une affection fréquente chez les chevaux, mais elle n'a pas de conséquence pour l'Homme ni d'impact économique.</p>
<ul>
<li>
<p>Chez les ovins, lors de pneumonie strongylienne massive, on observe fréquemment des granulomes en grand nombre dans le foie et les nœuds lymphatiques, qui résultent de l'enkystement et la dégénérescence des parasites.</p>
</li>
</ul>
<p>En cas de lésions en petit nombre, l'épluchage du foie est recommandé, tandis que la saisie totale est nécessaire si les lésions sont disséminées sur tout l'organe.</p>
<p><br> </p>","1","138","2023-06-03 15:26:02","2023-06-03 15:26:02"
"143","L'hydatidose ou l'échinococcose","lhydatidose-ou-lechinococcose","","","","1","<p>L'hydatidose est une parasitose causée par Echinococcus granulosus, que l'on retrouve chez différents animaux de boucherie, notamment les porcs et les ruminants, mais plus rarement chez les chevaux.&nbsp;</p><p>Les lésions sont similaires dans toutes les espèces, à l'exception des chevaux, chez qui les kystes sont plus petits.&nbsp;</p><p>Ces kystes, appelés kystes hydatiques, sont uni ou multivésiculaires et contiennent un liquide sous pression, avec une membrane proligère à la face interne de la paroi.&nbsp;</p><p>Bien que la localisation préférentielle des kystes hydatiques soit le poumon, suivi du foie, lors d'une infestation massive, ils peuvent se trouver sur tous les organes.</p><p>La conduite à tenir dépend de l'étendue des lésions : un épluchage du foie peut être réalisé en cas de présence d'un nombre réduit de kystes, mais une saisie totale de l'organe est recommandée en cas d'une infestation massive.</p>","1","138","2023-06-03 15:26:24","2023-06-03 15:26:24"
"144","Les intestins","les-intestins","","","","1","","3","135","2023-06-03 15:26:50","2023-06-03 15:26:50"
"145","La coccidiose","la-coccidiose","","","","1","<p>Chez les ovins, il existe trois formes de coccidioses qui se manifestent de différentes manières :</p>
<ul>
<li>
<p>Entérite subaiguë : la muqueuse de l'intestin est épaissie, légèrement congestionnée et a un aspect velouté.</p>
</li>
<li>
<p>Forme nodulaire : des nodules de 1 à 2 mm, plus ou moins pédiculés, se forment dans la muqueuse intestinale.</p>
</li>
<li>
<p>Forme adénomateuse, beaucoup plus rare.</p>
</li>
</ul>
<p>Pour la forme d'entérite subaiguë, la conduite à tenir consiste à saisir l'intestin.</p>
<p><br> </p>","1","144","2023-06-03 15:27:47","2023-06-03 15:27:47"
"146","Les helminthoses","les-helminthoses","","","","1","<p>Les helminthoses sont des affections parasitaires qui touchent toutes les espèces d'animaux de boucherie. Elles sont généralement spécifiques à chaque espèce animale et sans danger pour l'Homme.</p><p>Les helminthoses intestinales peuvent entraîner trois types de lésions :&nbsp;</p><p>&nbsp; &nbsp; • Petites ulcérations de la muqueuse intestinale.</p><p>&nbsp; &nbsp; • Lésions nodulaires dites granulomes inflammatoires de la taille allant d’un grain de mil à celle du petit pois dans la muqueuse ou la sous-muqueuse intestinale.</p><p>&nbsp; &nbsp; • Modification tissulaire avec un épaississement et fibrose de la paroi.</p><p>Chez les bovins :</p><p>&nbsp; &nbsp; • Les lésions d'oesophagostomose se retrouvent dans la dernière partie de l'intestin grêle et dans le gros intestin. Elles ont la taille de petits pois et donnent un aspect boutonneux au boyau.</p><p>Chez les porcins :</p><p>&nbsp; &nbsp; • L'oesophagostomose se caractérise par des lésions nodulaires du gros intestin avec de petits nodules gris-vert de la taille d'une tête d’épingle.</p><p>Dans tous les cas d'helminthoses intestinales, il y a une adénite subaiguë éosinophilique considérable au niveau des ganglions lymphatiques mésentériques.</p><p>La conduite à tenir est la saisie de l'intestin.</p>","1","144","2023-06-03 15:29:44","2023-06-03 15:45:09"
"147","Les poumons","les-poumons","","","","1","","3","135","2023-06-03 15:30:14","2023-06-03 15:30:14"
"148","Les strongyloses pulmonaires","les-strongyloses-pulmonaires","","","","1","<p>Ces parasites sont courants chez toutes les espèces d'animaux de boucherie.</p>
<ul>
<li>
<p>Chez les bovins, le porc et les chevaux, une ""bronchite vermineuse"" est fréquemment observée, avec trois types de lésions possibles :</p>
<ul>
<li>
<p>Des strongles visibles à l'ouverture de la trachée et des bronches, surtout chez les bovins.</p>
</li>
<li>
<p>Une multitude de petits foyers de bronchite, voire de bronchopneumonie, disséminés dans le parenchyme pulmonaire.</p>
</li>
<li>
<p>Des petits foyers d'atélectasie, de l'emphysème interstitiel ou des deux, lorsque l'affection est plus évoluée.</p>
</li>
</ul>
</li>
</ul>
<ul>
<li>
<p>Chez les petits ruminants, les lésions de pneumonie strongylienne sont assez caractéristiques, avec deux types de lésions possibles :</p>
<ul>
<li>
<p>La forme nodulaire : petits nodules de 1-2 mm de diamètre, ressemblant à des grains de plomb, liée surtout aux strongles du genre Muellerius.</p>
</li>
<li>
<p>La forme insulaire : lésions par plage de couleur jaune grisâtre sur les bords dorsaux des poumons, de quelques mm à 2-3 cm, ayant des limites nettes et étant en relief par rapport à la surface du poumon, liée surtout aux strongles du genre Protostrongylus.</p>
</li>
</ul>
</li>
</ul>
<p>La conduite à tenir consiste à saisir les poumons.</p>
<p><br> </p>","1","147","2023-06-03 15:30:52","2023-06-03 15:30:52"
"149","L'hydatidose et la fasciolose","lhydatidose-et-la-fasciolose","","","","1","<p style=""line-height: 1.08px; margin-bottom: 0.11in; direction: ltr; background: transparent;""><font color=""#000000"" face=""Segoe UI, serif"" size=""3"">En association avec l’atteinte du foie&nbsp;</font><br></p>","1","147","2023-06-03 15:31:12","2023-06-03 15:31:12"
"150","L'estomac et les reservoirs gastriques","lestomac-et-les-reservoirs-gastriques","","","","1","<p>Il existe de nombreux parasites qui affectent l'estomac et les réservoirs gastriques des animaux, notamment:</p><ul><li><p>La gastrophilose chez les équidés qui peut causer des ulcères dans l'estomac.</p></li><li><p>L'ascaridiose chez les veaux et les porcs.</p></li><li><p>La trichostrongylose chez les petits ruminants, qui provoque une tuméfaction de la muqueuse de la caillette avec une coloration grisâtre.</p></li><li><p>L'ostertagiose chez les bovins, qui forme de petits nodules dans la muqueuse de la caillette.</p></li></ul><p>La conduite à tenir dépend de la localisation et de la gravité des lésions, mais dans tous les cas, les territoires concernés doivent être saisis.</p>","1","135","2023-06-03 15:31:53","2023-06-03 15:31:53"
"151","Viandes dangereuses","viandes-dangereuses","","","","1","","2","","2023-06-03 16:48:16","2023-06-03 16:48:16"
"152","Viandes congestionnées","viandes-congestionnees","","","","1","","3","151","2023-06-03 16:48:41","2023-06-03 16:48:41"
"153","La congestion active","la-congestion-active","","","","1","<p>example content</p>","1","152","2023-06-03 16:49:09","2023-06-03 16:49:09"
"154","La congestion passive","la-congestion-passive","","","","1","<p>example content</p>","1","152","2023-06-03 16:49:36","2023-06-03 16:49:36"
"155","Viandes fievreuses","viandes-fievreuses","<p>example</p>","<p>example</p>","<p>example</p>","1","","1","151","2023-06-03 16:50:27","2023-06-03 16:50:27"
"156","Viandes saigneuses","viandes-saigneuses","<p>example</p>","<p>example</p>","<p>example</p>","1","","1","151","2023-06-03 16:51:04","2023-06-03 16:51:04"
"157","Viandes septicémiques","viandes-septicemiques","","","","1","","3","151","2023-06-03 16:51:25","2023-06-03 16:51:25"
"158","Septicémie gangréneuse","septicemie-gangreneuse","","","","1","<p>example content</p>","1","157","2023-06-03 16:51:49","2023-06-03 16:51:49"
"159","Septicémie hémorragique","septicemie-hemorragique","","","","1","<p>exampel content</p>","1","157","2023-06-03 16:52:07","2023-06-03 16:52:07"
"160","Septicémie pyohémique","septicemie-pyohemique","","","","1","<p>content</p>","1","157","2023-06-03 16:52:21","2023-06-03 16:52:21"
